Record ID,First,Last,ADD,ADD 2,ZIP,Z 4,Source
142705146,LASKA,CARTER-LEOPOLDO,43 POUND RD,,02891,5815,A
143055033,ISABEL,CARVALHO-FERREIRA,292 GRAND AVE,,02861,2161,A
143097137,ROBERT,DRAPEAU,40 OLD LOUISQUISSET PIKE,UNIT 104A,02896,8234,A
143405628,LUCILLE,GABORIAULT,34 MYRTLE AVE,,02910,5743,A
279538560,SHARON,SCOTT,11864 GARFIELD ST,,80233,,A
280045116,LINDA,CLASON,1817 10TH ST SW,,80537,6702,A
281073862,JANET,WATSON,6188 ARROWHEAD TRL,,80107,6804,A
282079122,BRADY,PARTEN,7464 S DEXTER ST,,80122,,A
282459972,GUY,BEALS,81 ELK HORN DR,,80421,1107,A
282579080,JENNIFER,ROWLES,3511 S RICHFIELD ST,,80013,,A
143059801,MICHAEL,MCMILLAN,S 75 Katie St,,02860,3978,A
143253708,LINDA,STONE,47 Katie Penny Ave,,02919,6762,A
279457496,MICHAEL,TAYLOR,8300 Katzman Blvd,,80003,6041,A
280143677,ROBERTO,MEJIA,S 1400 Kaufman St,,80501,6946,A
280255373,KIMBERLY,HANKSTON,W 7530 Kay Ave,,80123,9409,A
280761212,RONALD,ROBERTSON,122 Kayla Ricci,,81602,0122,A
281184592,JON,CHAVEZ,5100 Kazan Dr,,80246,8122,A
281356610,DAVID,BARRAZA,7161 Keach Dam Dr,,80221,2518,A
281688053,K,HIGHTOWER,E 11223 Keach Pond Pl,,80022,9417,A
281688258,LLOYD,VANCLEAVE,9833 Keane Cir,,80022,9523,A
281859073,MARY,MARCELO,5150 Keaney Rd,,80916,1615,A
281937407,ROBERT,SANDOVAL,E 3985 Kearney St,,80909,6846,A
282249780,NICOLE,DIGIROLAMO,16491 Kearns Ln,,80023,8039,A
282714666,CHRIS,BEERY,W 17932 Dr,,80007,7969,A
282380961,MARK,WELKER,4725 1 2 Wood Ave,,80303,1106,A
282489378,S,ANDERSON,S 924 1/2 Main Way,,80017,3116,A
281102388,CARLA,WESTON,280 1/2 Walker Dr,,81303,7324,A
281959828,BURT,HANSEN,7284 10th Rd,,80908,1166,A
280551366,ROBIN,WALSH,3086 11th,,81326,9711,A
282506794,DAVID,ESLER,S 7150 12th Ct,,80016,1320,A
281647019,DALE,HARBER,448 13th Ct,,81625,2254,A
281559220,JURITA,MILLER,E 3501 14th Ave,,80205,5035,A
143343165,PAUL,CHOQUETTE,51 15th St,APT 201,02864,4848,A
282659912,BOB,SATTLER,741 16th Orly Dr St,,80011,6908,A
282158925,MARIE,KOURI,7400 17th Ansel Avenue Way,,80108,3078,A
281596183,JOHN,CULSHAW,1767 1st St,APT 205,80203,1489,A
280256139,J,KELLEY,W 8078 20th Step Circle Pl,,80123,3518,A
279995961,LOVELL,SASSER,625 25th Sherri Dr Rd,,81525,9724,A
280872721,JERLYN,CULP,4901 2nd Dr,,80526,3931,A
280262855,ERIC,BECKER,5225 2nd Point Trl,,80123,1409,A
